text,time
우리나라 진짜 사형제도잇어야되,6년 전(수정됨)
1:05,6년 전
말릴려면 칼질하고있는 느그형을 말렸어야지 지럴도 유분수 ㅎ,6년 전
진짜너무끔찍하다..진짜로..어떻게사람이저러냐...진짜 무슨 죄냐 피해자분은 이제 막 스물초반 앞날창창한 청년이었을텐데....,6년 전
"경찰들은 뭐꼬...??
건성으로 눈가림 공무일만 하고 가버렸네...저사람들   해직시켜야한다고 생각한다..
간접적인  피해자를 방조한거네..
진짜 저런 인간ㅅㅅㅅ.. ㅎㅎ...
진짜 범인 사형시켰슴 좋겠다.",6년 전
"아니...기가차서 그냥 얼핏봐도 cctv에 동생이 피해자 팔을 붙들어서 
찔리게 만들었네...살인공범이네..",6년 전
흔한 자적자사건,6년 전
말릴꺼면 형을 말려야지 이게 공범아니면 뭐냐 흉기 들고잇는거 뻔히 눈에 보였을텐데..,6년 전
경찰 판단력무엇 일반인이 더 잘알겠,6년 전
화장실에 들어가는 사람 일반인 아니예요 동생이예요..,6년 전(수정됨)
"동생 10프로 살인 같이했다.
공범각임 걍 동생무기진형 형 사형으로해라",6년 전
"저런일이 일어났으므로
심신미약 개소리하지말고
두미친 놈들 사형시키자!
그리고 재대로된 경찰뽑자",6년 전
30대가 아니고 20대인데요!,6년 전
참 어이가 없다 성수놈 속으로 쾌제를부르겠지 동생이라도 공법이 안되 다행이라구 그러니 안도에 말이술술 잘도하네,6년 전
피해자 얼굴이 아예 못 알아볼 정도로 난리가나서 하도 피해자가 손을 휘두르니까 손이 걸레가 다되고 얼굴은 뭐.. 말할것도 어뵤어져서 그 현장에 피해자 부모님도 못 들어오게 했다는데.....,6년 전
비질란테 나타나 주세요,6년 전
"예수님은 천국.지옥이 있고.이세상이 전부가 아니기 때문에.
그리고.진짜.법재판관은 하나님아버지 라고.하셨다
눈에는.눈.귀에는.귀.
하지말고
원수를 용서하고.축복하라고 하셨다
.그렇게 하지 않으면.하나님도.나에게서 죄값을 요구하신다 하셨다

하나님아버지말씀
 형제를 미워하는자마다 벌써 살인한것이니라
여자를 보고  음욕을 품는자는 벌써 간음한것이니라
.말씀하신다
.사람이 살다보면.이죄에 안걸리는 사람없다
.죄인으로.태어나기때문에
다 있다
 사람들은 그렇게 생각할것이다
아! 그런것도 없이 인간이냐?
맞는말이다
.맘속에 이 죄가 열매를 맺으면
. 자범죄로 살인하게 되고
 자범죄로  성범죄를 짓는것이다
.죄의 뿌리만.있든.열매를 맺었든
사람들속엔 죄가 붙어다닌다

.인간은 예수그리스도없이는
희망이 없다.",6년 전(수정됨)
"창세기에 가인을 읽어보면
가해자를 이해할수 있다
.창세기에는.시기.질투로.살인했다
 .친동생을.형이.
가인과 아벨
.교회에는 갸롯유다가 실제로 
나오더니
가인도.나오는구나

주여.우리는 
다 죄인입니다
죄를 많이 져서 죄인이 아니라
본래.죄인이라 죄를 짓습니다.
죄덩어리로 태어납니다
.예수그리스도를 통하여.하나님아버지께 돌아갈수 있도록 도와주옵소서.",6년 전
"형이 칼들고 왔을줄  몰랐다의 속뜻은.동생도.하두 어이없다는 뜻이다.꿈에도 생각못하는 행동이라는 똣.
말속에 진실이 있다
 찾아라
.김성수 한테서 찾아라
.살아있는 동생.괴롭히지말고
.",6년 전
"형이 칼가지고 왔을줄 몰랐다!
이말속에 해답이 있다
.살인혐의 백프로 없다.",6년 전
누가 봐도 뒤에서 잡은거같은데? 피해자를?,6년 전
