Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language
BMW리콜,https://x.com/search?q=BMW리콜 lang:en until:2018-08-01 since:2018-07-01&src=typed_query,Walter Foreman,https://x.com/Walter_Foreman,Walter_Foreman,False,2018-07-30 09:22:08+00:00,False,"The complete list of BMWs involved in the recent recall in Korea, as reported by @JoongAngDaily. 106,317 vehicles in total. #BMW520d #BMW #BMWRecall #리콜 https://t.co/UxU76nISeh",1023861289024516098,https://x.com/Walter_Foreman/status/1023861289024516098,0,0,0,0,0,https://pbs.twimg.com/media/DjV8ZYkU8AAkRRY.jpg,False,,,,,en
BMW리콜,https://x.com/search?q=BMW리콜 lang:en until:2018-09-01 since:2018-08-01&src=typed_query,Walter Foreman,https://x.com/Walter_Foreman,Walter_Foreman,False,2018-08-03 06:42:21+00:00,False,"BMW is now officially: Bus Metro Walk. Because if you own a BMW in Korea, the government is advising that you NOT drive it, leaving you to take a Bus, Metro, or Walk. #BMW #BMWKorea #BMWrecall #BMW리콜 #리콜",1025270631514796033,https://x.com/Walter_Foreman/status/1025270631514796033,0,1,2,0,0,,False,,,,,en
BMW리콜,https://x.com/search?q=BMW리콜 lang:en until:2018-09-01 since:2018-08-01&src=typed_query,Walter Foreman,https://x.com/Walter_Foreman,Walter_Foreman,False,2018-08-03 08:41:53+00:00,False,"More Bus, Metro, Walk (BMW) news from Korea. BMWs now reportedly banned from some parking lots. #BMW #BMWKorea #BMWrecall #BMW리콜 #리콜",1025300711397965824,https://x.com/Walter_Foreman/status/1025300711397965824,0,1,2,0,0,,False,,,,,en
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",고양이,https://x.com/Parallel_Neko,Parallel_Neko,False,2018-01-27 16:38:46+00:00,False,#arcaea IGNOTUS 풀리콜! https://t.co/LlQUvBEfnp,957291806487601152,https://x.com/Parallel_Neko/status/957291806487601152,0,0,0,0,0,https://pbs.twimg.com/media/DUj70wVVQAEUxZQ.jpg,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",고양이,https://x.com/Parallel_Neko,Parallel_Neko,False,2018-01-29 12:56:14+00:00,False,이제 트라폴라만 풀리콜하면 라비린스팩 9렙은 다 잡는거임 https://t.co/tnB65mjJs2,957960579171336195,https://x.com/Parallel_Neko/status/957960579171336195,0,0,0,0,0,https://pbs.twimg.com/media/DUtcCrAVQAA342b.jpg,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",고양이,https://x.com/Parallel_Neko,Parallel_Neko,False,2018-01-26 17:52:45+00:00,False,#arcaea 오라클 풀리콜! https://t.co/8UcQInYUd3,956948036231376896,https://x.com/Parallel_Neko/status/956948036231376896,0,0,0,0,0,https://pbs.twimg.com/media/DUfDKqqUQAALoVU.jpg,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",고양이,https://x.com/Parallel_Neko,Parallel_Neko,False,2018-01-26 18:23:00+00:00,False,#arcaea 파티비닐 풀리콜 https://t.co/c0IQcxvvPs,956955648897400833,https://x.com/Parallel_Neko/status/956955648897400833,0,0,0,0,0,https://pbs.twimg.com/media/DUfKFzGU8AAt0vQ.jpg,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",고양이,https://x.com/Parallel_Neko,Parallel_Neko,False,2018-01-27 11:04:32+00:00,False,#arcaea 야 풀리콜 잡았다!!!!! https://t.co/9YlqQoH9bd,957207690882641920,https://x.com/Parallel_Neko/status/957207690882641920,0,1,0,0,0,https://pbs.twimg.com/media/DUivUnGU8AA8tQG.jpg,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",고양이,https://x.com/Parallel_Neko,Parallel_Neko,False,2018-01-29 12:41:45+00:00,False,#arcaea 사운드위치 992 풀리콜! https://t.co/7vn0PIxE63,957956934610575360,https://x.com/Parallel_Neko/status/957956934610575360,0,1,0,0,0,https://pbs.twimg.com/media/DUtYwVSVQAAOGEz.jpg,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",고양이,https://x.com/Parallel_Neko,Parallel_Neko,False,2018-01-26 18:33:57+00:00,False,#arcaea your voice so... 풀리콜 https://t.co/KsmqQE8IjZ,956958403816972288,https://x.com/Parallel_Neko/status/956958403816972288,0,0,0,0,0,https://pbs.twimg.com/media/DUfMmLRUMAEhvRh.jpg,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",정정당당 대한민국,https://x.com/jjangtex,jjangtex,False,2018-01-25 12:38:19+00:00,False,"현대가 소나타와 그랜져의 한국에서 리콜하는지는 뉴스 내용에 없네요.

한국에서 리콜 유무도 취재해 주세요.

강력한 레몬법이 한국에 꼭 필요합니다.

#현대 https://t.co/Vrs0ipGAUQ",956506517213097984,https://x.com/jjangtex/status/956506517213097984,0,2,1,0,0,https://pbs.twimg.com/media/DUYxkwqUMAA_ZHK.jpg,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",AxisB_doa,https://x.com/AxisB_doa,AxisB_doa,False,2018-01-30 11:39:52+00:00,False,오늘은 BMW 중 BUs  좋은 날을 기약합니다!!!! 아자자자자자자자자자자ㅏ자자자자자자자자자자ㅏㅈ 화이팅 https://t.co/3RpCPLnpHn,958303745502167040,https://x.com/AxisB_doa/status/958303745502167040,5,14,69,0,0,https://pbs.twimg.com/media/DUyUKsKVQAEU33G.jpg,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",SBS 뉴스,https://x.com/SBS8news,SBS8news,True,2018-01-25 00:56:11+00:00,False,#현대자동차 가 #미국 에서 판매한 구형 #소나타 와 #그랜저 등 2개 차종 8만8천 대에 대해 #리콜 조치에 들어간다고 AP통신 등이 보도했습니다. ▶https://t.co/XWiOX0Mehb https://t.co/UOnREyFwsI,956329818349436928,https://x.com/SBS8news/status/956329818349436928,0,3,3,0,0,https://pbs.twimg.com/media/DUWQyrPU0AASRX7.jpg,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",세나,https://x.com/KBS_SENA,KBS_SENA,False,2018-01-29 08:29:08+00:00,False,악시움 이제야 더블! 프래그마티즘 97! 쓰레기 하나 풀리콜 및 EX! 9렙 995 추가!! 이런식으로 해서 오늘 포텐셜 0.07이나 올렸다! https://t.co/TRHkAFePYP,957893358025719808,https://x.com/KBS_SENA/status/957893358025719808,0,0,0,0,0,https://pbs.twimg.com/media/DUseqp6U0AEppqS.jpg;https://pbs.twimg.com/media/DUseuswU8AEOJbf.jpg;https://pbs.twimg.com/media/DUsexWWU8AAiRMi.jpg;https://pbs.twimg.com/media/DUse3O6V4AAii5a.jpg,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",전국대머리협회_REMOTE,https://x.com/remote3484,remote3484,False,2018-01-31 08:38:53+00:00,False,"부장님 : 자네 요즘 bmw 타고다니더만?
나 : 예??
부장님 : 버스 . 메트로. 워킹 이잖나 하하하하하하!!
나 : ㅋㅋㅋㅋㅋ아 저이번에 차 바꿨읍니다. 11호 차로요
부장님 : 11호?
나:(다리를 가르키며) 11. 호차입니다 하하하하하!
부장님 : 이친구 유머감각있어! 하하하!! 

사회생활은 비위맞추기다.",958620589891076097,https://x.com/remote3484/status/958620589891076097,7,7839,1688,0,1,,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",쿠도군,https://x.com/KudoKun_,KudoKun_,False,2018-01-30 03:20:41+00:00,False,"스티브 워즈니악: “난 일론 머스크나 테슬라를 믿지 않는다.”
처음에는 테슬라의 팬이었지만, 머스크의 행동보다는 말만 잘 하는 태도나 테슬라의 뒤떨어지는 기술력이 마음에 들지 않는다고. 자율차 기술은 BMW나 아우디가 테슬라보다 앞서 있다고 평. https://t.co/tTr04zLyO6 https://t.co/wms028BDQF",958178123052470272,https://x.com/KudoKun_/status/958178123052470272,1,40,43,0,0,https://pbs.twimg.com/media/DUwh67eU8AAZUlY.jpg,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",짜가사나,https://x.com/nisesana,nisesana,False,2018-01-30 00:00:16+00:00,False,리콜수리 왔다. 두 시간 걸린다니 한숨 잘까.. https://t.co/laCcn9sOjB,958127686928416768,https://x.com/nisesana/status/958127686928416768,0,0,0,0,0,https://pbs.twimg.com/media/DUv0C9_U8AE8pCk.jpg,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",김다반,https://x.com/Daban_Eve,Daban_Eve,False,2018-01-31 16:19:43+00:00,False,미제리콜데 갓갓 너모조와요 희희 https://t.co/68vnDa8Gxg,958736562023415808,https://x.com/Daban_Eve/status/958736562023415808,0,0,0,0,0,https://pbs.twimg.com/media/DU4dzpMVwAAKDE8.jpg,False,,,,,ko
"(""BMW"" OR ""리콜"")","https://x.com/search?q=(""BMW"" OR ""리콜"") lang:ko until:2018-02-01 since:2018-01-01&src=typed_query",연합뉴스,https://x.com/yonhaptweet,yonhaptweet,True,2018-01-30 03:20:21+00:00,False,"가습기살균제 성분 검출 완구 등 어린이제품 49개 리콜 https://t.co/DMW58tSF4x
#어린이제품 https://t.co/2iY3yE8Ppy",958178038809677824,https://x.com/yonhaptweet/status/958178038809677824,0,14,5,0,0,https://pbs.twimg.com/media/DUwh0GvUQAA_nYO.jpg,False,,,,,ko
